time,RegionName,value
2013-10-01,89123,199600.0
2013-10-01,89031,148600.0
2013-10-01,89110,106900.0
2013-10-01,89074,207700.0
2013-10-01,89103,150100.0
2013-10-01,89148,216500.0
2013-10-01,89147,177000.0
2013-10-01,89119,139600.0
2013-10-01,89129,186900.0
2013-10-01,89122,132000.0
2013-10-01,89115,93300.0
2013-10-01,89502,142100.0
2013-10-01,89014,182700.0
2013-10-01,89131,223300.0
2013-10-01,89509,275600.0
2013-10-01,89436,237400.0
2013-10-01,89015,150800.0
2013-10-01,89128,185600.0
2013-10-01,89523,252000.0
2013-10-01,89104,105900.0
2013-10-01,89012,237800.0
2013-10-01,89030,66900.0
2013-10-01,89431,130000.0
2013-10-01,89032,137600.0
2013-10-01,89506,151600.0
2013-10-01,89102,130700.0
2013-10-01,89139,191600.0
2013-10-01,89149,199000.0
2013-10-01,89178,205700.0
2013-10-01,89113,221900.0
2013-10-01,89521,270500.0
2013-10-01,89183,172900.0
2013-10-01,89135,310400.0
2013-10-01,89107,110600.0
2013-10-01,89511,437200.0
2013-10-01,89002,190800.0
2013-10-01,89130,175600.0
2013-10-01,89134,227000.0
2013-10-01,89503,171300.0
2013-10-01,89081,163300.0
2013-10-01,89141,216900.0
2013-10-01,89011,179400.0
2013-10-01,89142,120300.0
2013-10-01,89434,179200.0
2013-10-01,89145,148100.0
2013-10-01,89084,198300.0
2013-10-01,89701,158500.0
2013-10-01,89801,228700.0
2013-10-01,89120,159300.0
2013-10-01,89044,267000.0
2013-10-01,89156,123000.0
2013-10-01,89048,136500.0
2013-10-01,89118,173900.0
2013-10-01,89706,158100.0
2013-10-01,89408,133500.0
2013-10-01,89166,203000.0
2013-10-01,89144,249300.0
2013-10-01,89146,213000.0
2013-10-01,89027,179600.0
2013-10-01,89403,161600.0
2013-10-01,89433,149500.0
2013-10-01,89005,221800.0
2013-10-01,89138,308800.0
2013-10-01,89460,214500.0
2013-10-01,89423,282600.0
2013-10-01,89410,257100.0
2013-10-01,89815,234800.0
2013-10-01,89029,150800.0
2013-10-01,89109,181800.0
2013-10-01,89508,166700.0
2013-10-01,89703,244500.0
2013-10-01,89441,268000.0
2013-10-01,89060,94600.0
2013-10-01,89143,179700.0
2013-10-01,89519,385100.0
2013-10-01,89447,108100.0
2013-10-01,89179,220200.0
2013-10-01,89429,101200.0
2013-10-01,89061,133800.0
2013-10-01,89451,691900.0
2013-10-01,89501,197700.0
2013-10-01,89705,210900.0
2013-10-01,89510,276800.0
2013-10-01,89086,180300.0
2013-10-01,89448,492500.0
2013-10-01,89704,235400.0
2013-10-01,89449,275700.0
2013-10-01,89040,135400.0
2013-10-01,89444,226600.0
2013-10-01,89085,238500.0
2013-10-01,89034,267800.0
2013-10-01,89021,193600.0
2013-10-01,89439,314800.0
2013-10-01,89411,519300.0
2013-10-01,89124,207000.0
2013-10-01,89440,140700.0
2013-10-01,89413,1428700.0
2013-10-01,89155,256900.0
2013-11-01,89108,126500.0
2013-11-01,89121,123900.0
2013-11-01,89117,241900.0
2013-11-01,89052,321100.0
2013-11-01,89123,202300.0
2013-11-01,89031,150700.0
2013-11-01,89110,109100.0
2013-11-01,89074,210700.0
2013-11-01,89103,152500.0
2013-11-01,89148,219300.0
2013-11-01,89147,178000.0
2013-11-01,89119,140200.0
2013-11-01,89129,188800.0
2013-11-01,89122,134400.0
2013-11-01,89115,95100.0
2013-11-01,89502,143700.0
2013-11-01,89014,185400.0
2013-11-01,89131,225400.0
2013-11-01,89509,280600.0
2013-11-01,89436,241100.0
2013-11-01,89015,151700.0
2013-11-01,89128,187700.0
2013-11-01,89523,255200.0
2013-11-01,89104,107800.0
2013-11-01,89012,241000.0
2013-11-01,89030,67400.0
2013-11-01,89431,133200.0
2013-11-01,89032,139900.0
2013-11-01,89506,155000.0
2013-11-01,89102,132400.0
2013-11-01,89139,193700.0
2013-11-01,89149,201900.0
2013-11-01,89178,207800.0
2013-11-01,89113,225100.0
2013-11-01,89521,274800.0
2013-11-01,89183,175000.0
2013-11-01,89135,312900.0
2013-11-01,89107,112600.0
2013-11-01,89511,441100.0
2013-11-01,89002,193300.0
2013-11-01,89130,177200.0
2013-11-01,89134,228900.0
2013-11-01,89503,174100.0
2013-11-01,89081,165100.0
2013-11-01,89141,220800.0
2013-11-01,89011,181600.0
2013-11-01,89142,122200.0
2013-11-01,89434,182100.0
2013-11-01,89145,149900.0
2013-11-01,89084,199800.0
2013-11-01,89701,159600.0
2013-11-01,89801,229300.0
2013-11-01,89120,161200.0
2013-11-01,89044,268500.0
2013-11-01,89156,125000.0
2013-11-01,89048,137600.0
2013-11-01,89118,175000.0
2013-11-01,89706,159100.0
2013-11-01,89408,134100.0
2013-11-01,89166,204200.0
2013-11-01,89144,250900.0
2013-11-01,89146,216000.0
2013-11-01,89027,179700.0
2013-11-01,89403,162100.0
2013-11-01,89433,152000.0
2013-11-01,89005,223800.0
2013-11-01,89138,310500.0
2013-11-01,89460,214600.0
2013-11-01,89423,283200.0
2013-11-01,89410,257200.0
2013-11-01,89815,235200.0
2013-11-01,89029,150500.0
2013-11-01,89109,182300.0
2013-11-01,89508,170400.0
2013-11-01,89703,246800.0
2013-11-01,89441,272200.0
2013-11-01,89060,95300.0
2013-11-01,89143,182800.0
2013-11-01,89519,387400.0
2013-11-01,89447,108600.0
2013-11-01,89179,221100.0
2013-11-01,89429,101800.0
2013-11-01,89061,135100.0
2013-11-01,89451,697700.0
2013-11-01,89501,200200.0
2013-11-01,89705,211300.0
2013-11-01,89510,278700.0
2013-11-01,89086,180600.0
2013-11-01,89448,494100.0
2013-11-01,89704,248200.0
2013-11-01,89449,278100.0
2013-11-01,89040,136700.0
2013-11-01,89444,228100.0
2013-11-01,89085,240200.0
2013-11-01,89034,268300.0
2013-11-01,89021,194000.0
2013-11-01,89439,318900.0
2013-11-01,89411,521500.0
2013-11-01,89124,207200.0
2013-11-01,89440,144300.0
2013-11-01,89413,1427200.0
2013-11-01,89155,260100.0
2013-12-01,89108,128200.0
2013-12-01,89121,125000.0
2013-12-01,89117,243800.0
2013-12-01,89052,321700.0
2013-12-01,89123,204800.0
2013-12-01,89031,152200.0
2013-12-01,89110,110400.0
2013-12-01,89074,213000.0
2013-12-01,89103,153700.0
2013-12-01,89148,221200.0
2013-12-01,89147,178700.0
2013-12-01,89119,140000.0
2013-12-01,89129,190300.0
2013-12-01,89122,136600.0
2013-12-01,89115,96600.0
2013-12-01,89502,145000.0
2013-12-01,89014,186900.0
2013-12-01,89131,227000.0
2013-12-01,89509,284700.0
2013-12-01,89436,243900.0
2013-12-01,89015,151800.0
2013-12-01,89128,189400.0
2013-12-01,89523,257700.0
2013-12-01,89104,109400.0
2013-12-01,89012,243400.0
2013-12-01,89030,67100.0
2013-12-01,89431,135600.0
2013-12-01,89032,141400.0
2013-12-01,89506,157300.0
2013-12-01,89102,133300.0
2013-12-01,89139,195600.0
2013-12-01,89149,204600.0
2013-12-01,89178,209900.0
2013-12-01,89113,226200.0
2013-12-01,89521,277700.0
2013-12-01,89183,177100.0
2013-12-01,89135,314000.0
2013-12-01,89107,114200.0
2013-12-01,89511,443500.0
2013-12-01,89002,195600.0
2013-12-01,89130,177900.0
2013-12-01,89134,230100.0
