,time,CPI,real_GDP,inflation,unemployment_rate,population,household_income,population_density,RegionName
134,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,21584,46919,647.9790289148439,89701
135,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,8875,82717,349.58362230310155,89703
136,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3939,85550,51.45307100685899,89704
137,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,4548,55772,105.3792908321702,89705
138,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,16502,40713,520.7459304119446,89706
139,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,18239,49891,10.465190115494606,89801
140,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,11512,56999,18.28882184978788,89815
141,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,12694,49509,62.97114092133607,89403
142,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,17441,49391,117.51731658488707,89408
143,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,10418,58779,59.88833302748339,89410
144,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,338,1054418,21.40614713363683,89413
145,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,11172,73591,161.3129599822295,89423
146,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,6139,35994,36.444191945997474,89429
147,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,31067,36005,3212.807826039742,89431
148,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,17895,33975,1152.3088175664961,89433
149,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,22529,49979,752.9880769648915,89434
150,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,34855,67600,855.1295822411805,89436
151,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,1563,109203,107.26369466960337,89439
152,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,5081,72168,122.4493157237999,89441
153,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,2386,53374,8.064633707567292,89444
154,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,6931,42182,9.088306747182026,89447
155,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3368,353984,133.15493027787957,89451
156,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,10777,63555,198.80100165922622,89460
157,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3928,52800,6235.358888461097,89501
158,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,37473,43154,1683.4595520488888,89502
159,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,19915,42645,3068.6995295413217,89503
160,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,42451,44453,449.1252182860721,89506
161,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,30929,90129,3455.835893893002,89509
162,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3037,102039,2.936449152078533,89510
163,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,24680,152282,165.5976038106441,89511
164,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,18595,29773,2951.650606707944,89512
165,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,13696,68750,1568.9351743478271,89002
166,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,13469,76350,110.01776339905926,89005
167,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,5940,244248,762.6103089721529,89519
168,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,18140,81922,236.57463711616074,89521
169,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,25294,58595,1342.5921967975426,89523
170,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,24638,86446,2243.9731253417726,89012
171,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,7328,154937,431.0649742461087,89011
172,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,33252,57485,4386.8295642808225,89014
173,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,55429,50011,1478.5019041764897,89015
174,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,8844,63136,299.91564821302774,89027
175,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,5207,51279,55.36013152632452,89029
176,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,48188,28598,5148.387111546654,89030
177,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,53851,47127,5662.650507275834,89031
178,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,34948,42159,3409.63478214173,89032
179,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3153,50515,6.0487888478766765,89040
180,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,7130,74192,227.30022337937618,89044
181,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,14283,48107,186.42006450035726,89048
182,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,40256,126048,775.3655422439363,89052
183,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,7784,45401,16.828962941936627,89060
184,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3113,50745,42.81007875701686,89061
185,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,42602,76266,4744.099949271337,89074
186,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,17759,47039,2377.389912202538,89081
187,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,14313,60568,1309.5886006344388,89084
188,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,1672,63842,3215.5690200140352,89085
189,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,2723,47732,401.1165661978576,89086
190,2005-03-01,196.3239623225303,14974.272846517804,3.433382528454568,5.203906945488757,31179,57307,5816.983756691382,89102
191,2005-03-01,196.3239623225303,14974.272846517804,3.433382528454568,5.203906945488757,37779,43268,5638.714331645514,89103
192,2005-03-01,196.3239623225303,14974.272846517804,3.433382528454568,5.203906945488757,36587,36331,6441.407535652188,89104
