,time,CPI,real_GDP,inflation,unemployment_rate,population,household_income,population_density,RegionName,SizeRank,City,Metro,CountyName,value
134,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,21584,46919,647.9790289148439,89701,4439,Carson City,Carson City,Carson City,259200.0
135,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,8875,82717,349.58362230310155,89703,8046,Carson City,Carson City,Carson City,400400.0
136,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,3939,85550,51.45307100685899,89704,11321,Carson City,Carson City,Carson City,369100.0
137,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,4548,55772,105.3792908321702,89705,10869,Carson City,Carson City,Carson City,319600.0
138,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,16502,40713,520.7459304119446,89706,5355,Carson City,Carson City,Carson City,250700.0
139,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,18239,49891,10.465190115494606,89801,4700,Elko,Elko,Elko,277400.0
140,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,11512,56999,18.28882184978788,89815,7509,Spring Creek,Elko,Elko,210700.0
141,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,12694,49509,62.97114092133607,89403,6347,Dayton,Fernley,Lyon,248100.0
142,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,17441,49391,117.51731658488707,89408,5360,Fernley,Fernley,Lyon,350200.0
143,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,10418,58779,59.88833302748339,89410,7410,Gardnerville,Gardnerville Ranchos,Douglas,354800.0
144,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,338,1054418,21.40614713363683,89413,14712,Glenbrook,Gardnerville Ranchos,Douglas,1780100.0
145,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,11172,73591,161.3129599822295,89423,7340,Minden,Gardnerville Ranchos,Douglas,411900.0
146,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,6139,35994,36.444191945997474,89429,9111,Silver Springs,Fernley,Lyon,883200.0
147,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,31067,36005,3212.807826039742,89431,2061,Sparks,Reno,Washoe,224400.0
148,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,17895,33975,1152.3088175664961,89433,6448,Sun Valley,Reno,Washoe,248100.0
149,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,22529,49979,752.9880769648915,89434,4076,Sparks,Reno,Washoe,283000.0
150,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,34855,67600,855.1295822411805,89436,1605,Sparks,Reno,Washoe,349200.0
151,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,1563,109203,107.26369466960337,89439,13716,Verdi-Mogul,Reno,Washoe,445600.0
152,2005-02-01,195.7705868684855,14936.205271390412,3.414396514449841,5.255459005080975,5081,72168,122.4493157237999,89441,8070,Sparks,Reno,Washoe,360800.0
